Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
363,1,0,0.102463424,0.016699091,0.183300909,0.094133333,1183.5,0
364,1,0,0.10278111,0.015522238,0.184477762,0.094333333,1188,0
365,1,0,0.103092805,0.014405288,0.185594712,0.094533333,1192.5,0
366,1,0,0.103396341,0.013369921,0.186630079,0.094733333,1197,0
367,1,0,0.103695214,0.012381195,0.187618805,0.094933333,1201.5,0
368,1,0,0.103986308,0.011470254,0.188529746,0.095133333,1206,0
369,1,0,0.104271844,0.010614893,0.189385107,0.095333333,1210.5,0
370,1,0,0.104552239,0.009810942,0.190189058,0.095533333,1215,0
371,1,0,0.104825102,0.009082315,0.190917685,0.095733333,1219.5,0
372,1,0,0.105094016,0.008393177,0.191606823,0.095933333,1224,0
373,1,0,0.105355829,0.007775043,0.192224957,0.096133333,1228.5,0
374,1,0,0.105612606,0.007207275,0.192792725,0.096333333,1233,0
375,1,0,0.105864644,0.006686893,0.193313107,0.096533333,1237.5,0
376,1,0,0.106109448,0.006238856,0.193761144,0.096733333,1242,0
377,1,0,0.106350511,0.00582822,0.19417178,0.096933333,1246.5,0
378,1,0,0.106584743,0.005485907,0.194514093,0.097133333,1251,0
379,1,0,0.106814295,0.005190383,0.194809617,0.097333333,1255.5,0
380,1,0,0.107039325,0.004940084,0.195059916,0.097533333,1260,0
381,1,0,0.107253119,0.00480214,0.19519786,0.097733333,1264.5,0
382,1,0,0.107444517,0.00488816,0.19511184,0.097933333,1269,0
383,1,0,0.107587077,0.005462566,0.194537434,0.098133333,1273.5,0
384,1,0,0.10766235,0.006709834,0.193290166,0.098333333,1278,0
385,1,0,0.107662305,0.008710281,0.191289719,0.098533333,1282.5,0
386,1,0,0.107589304,0.011440289,0.188559711,0.098733333,1287,0
387,1,0,0.10745988,0.014734529,0.185265471,0.098933333,1291.5,0
388,1,0,0.107286476,0.018468577,0.181531423,0.099133333,1296,0
389,1,0,0.107084773,0.022485599,0.177514401,0.099333333,1300.5,0
390,1,0,0.10686516,0.026681732,0.173318268,0.099533333,1305,0
391,1,0,0.106631927,0.031014061,0.168985939,0.099733333,1309.5,0
392,1,0,0.106391639,0.035416948,0.164583052,0.099933333,1314,0
393,1,0,0.10614305,0.039902834,0.160097166,0.100133333,1318.5,0
394,1,0,0.105888948,0.044443855,0.155556145,0.100333333,1323,0
